type,namespace,name,kind,reason,message,count,timestamp
event,kafka,kafka-broker-2,Pod,BackOff,Back-off restarting failed container kafka in pod kafka-broker-2,847,2024-06-15T14:30:00Z
event,kafka,kafka-broker-2,Pod,BackOff,Back-off restarting failed container kafka in pod kafka-broker-2,848,2024-06-15T14:35:00Z
event,demo-app,ml-training-job-4c,Pod,BackOff,Back-off restarting failed container trainer in pod ml-training-job-4c,23,2024-06-15T12:00:00Z
event,demo-app,data-sync-worker-7,Pod,BackOff,Back-off restarting failed container sync in pod data-sync-worker-7,156,2024-06-15T10:00:00Z
event,sandbox,sandbox-gc-runner-2,Pod,BackOff,Back-off restarting failed container gc in pod sandbox-gc-runner-2,412,2024-06-15T09:00:00Z
event,pipeline,build-runner-failed,Pod,BackOff,Back-off restarting failed container build in pod build-runner-failed,67,2024-06-15T11:00:00Z
event,demo-app,debug-tools-old,Pod,Failed,Failed to pull image quay.io/oldteam/debug-tools:v1.2 — repository not found,12,2024-06-15T08:30:00Z
event,sandbox,sandbox-test-env-3b,Pod,Failed,Failed to pull image registry.internal/sandbox/test-env:expired — unauthorized,8,2024-06-15T09:15:00Z
event,demo-app,legacy-adapter-5b2,Pod,FailedScheduling,0/6 nodes are available: 3 Insufficient memory — 3 node(s) had untolerated taint,5,2024-06-15T10:30:00Z
event,analytics,spark-driver-9d4f,Pod,FailedScheduling,0/6 nodes are available: insufficient cpu,3,2024-06-15T11:45:00Z
event,demo-app,gpu-workload-7a3c1,Pod,FailedScheduling,0/6 nodes are available: no GPU nodes available,2,2024-06-15T13:00:00Z
event,demo-app,backend-api-5d8f2,Pod,Unhealthy,Readiness probe failed: HTTP probe failed with statuscode 503,4,2024-06-15T14:00:00Z
event,demo-app,frontend-7b4c9,Pod,Unhealthy,Liveness probe failed: connection refused,2,2024-06-15T14:15:00Z
event,monitoring,prometheus-k8s-0,Pod,Unhealthy,Readiness probe failed: HTTP probe failed with statuscode 429,1,2024-06-15T13:30:00Z
event,demo-app,celery-worker-1a4b6,Pod,OOMKilled,Container celery killed due to OOM — limit 512Mi exceeded,3,2024-06-15T12:45:00Z
event,analytics,superset-prod-85fd8,Pod,OOMKilled,Container superset killed due to OOM — limit 1Gi exceeded,1,2024-06-15T11:30:00Z
event,demo-app,ml-inference-7b2c4,Pod,OOMKilled,Container inference killed due to OOM — limit 2Gi exceeded,2,2024-06-15T13:15:00Z
event,pipeline,scan-runner-4e8f1,Pod,FailedMount,MountVolume.SetUp failed for volume credentials — secret scan-credentials not found,6,2024-06-15T09:45:00Z
event,sandbox,sandbox-api-7f6d4,Pod,FailedMount,MountVolume.SetUp failed for volume config — configmap sandbox-config not found,4,2024-06-15T10:15:00Z
event,demo-app,data-migrator-9a7f,Pod,FailedMount,MountVolume.SetUp failed for volume db-creds — secret db-credentials not found,3,2024-06-15T12:30:00Z
event,demo-app,notification-svc-4f,Pod,FailedCreate,Error creating: pods notification-svc-4f is forbidden: exceeded quota,2,2024-06-15T14:45:00Z
event,analytics,etl-scheduler-5c9d,Pod,FailedCreate,Error creating: pods etl-scheduler is forbidden: exceeded quota,1,2024-06-15T13:00:00Z
event,kafka,kafka-connect-7c3e2,Pod,Unhealthy,Readiness probe failed: connection refused to kafka-connect:8083,3,2024-06-15T14:20:00Z
event,demo-app,websocket-gateway-8,Pod,Unhealthy,Liveness probe failed: dial tcp 127.0.0.1:8080 — connection refused,2,2024-06-15T14:10:00Z
event,aap,receptor-worker-1,Pod,Unhealthy,Readiness probe failed: receptor not responding,1,2024-06-15T13:50:00Z
event,demo-app,queue-processor-2d8,Pod,BackOff,Back-off restarting failed container processor,8,2024-06-15T14:25:00Z
event,demo-app,file-processor-8b2c,Pod,BackOff,Back-off restarting failed container processor — exit code 137,5,2024-06-15T14:30:00Z
event,sandbox,sandbox-cleanup-cron,Pod,FailedCreate,Error creating: deadline exceeded,2,2024-06-15T14:40:00Z
event,demo-app,cron-billing-7f3b4,Pod,DeadlineExceeded,Job was active longer than specified deadline 3600s,1,2024-06-15T12:00:00Z
event,pipeline,webhook-receiver-3f,Pod,NetworkNotReady,network is not ready — open /run/flannel/subnet.env: no such file,1,2024-06-15T08:15:00Z
